bag,t,wall,dt_s,hd_pair
concrete_20260826_2026-08-26-17-52-24,1787739414.634,2026-08-26 18:16:54.634,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787739414.634,2026-08-26 18:16:54.634,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739415.235,2026-08-26 18:16:55.235,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739415.236,2026-08-26 18:16:55.236,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787739469.633,2026-08-26 18:17:49.633,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739470.234,2026-08-26 18:17:50.234,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739470.234,2026-08-26 18:17:50.234,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739472.24,2026-08-26 18:17:52.240,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739472.24,2026-08-26 18:17:52.240,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739526.43,2026-08-26 18:18:46.430,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739527.234,2026-08-26 18:18:47.234,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787739527.234,2026-08-26 18:18:47.234,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739579.627,2026-08-26 18:19:39.627,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739580.229,2026-08-26 18:19:40.229,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739580.429,2026-08-26 18:19:40.429,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739581.232,2026-08-26 18:19:41.232,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739581.232,2026-08-26 18:19:41.232,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739634.827,2026-08-26 18:20:34.827,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739635.227,2026-08-26 18:20:35.227,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739635.63,2026-08-26 18:20:35.630,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739636.231,2026-08-26 18:20:36.231,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739636.432,2026-08-26 18:20:36.432,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739637.233,2026-08-26 18:20:37.233,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787739637.235,2026-08-26 18:20:37.235,0.002,1
concrete_20260826_2026-08-26-17-52-24,1787739691.431,2026-08-26 18:21:31.431,0.002,1
concrete_20260826_2026-08-26-17-52-24,1787739692.233,2026-08-26 18:21:32.233,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739692.436,2026-08-26 18:21:32.436,0.002,1
